index,start,end,name,text
24,0:04:53,0:04:56,Hanall Sung, City values and revenue values.
25,0:04:56,0:05:11,Hanall Sung," And what I'm basically doing here is, is using this city, which is a categorical variable, and, revenue, a numerical, numerical variable."
26,0:05:11,0:05:18,Hanall Sung," So, original format of factor, reorder, factor reorder, here."
27,0:05:18,0:05:32,Hanall Sung," is this. So, this is the regional‚ sorry, this is the regional, format. So.F means the factor‚ no, that's the location, the factor you want to reorder."
28,0:05:32,0:05:44,Hanall Sung," And this part.x, is the numeric vector that you want to use as the basis for reordering the levels of the vector. So that's‚  "
29,0:05:44,0:05:50,Hanall Sung," that's the second‚ the second one. You should, place a second,"
30,0:05:51,0:05:53,Hanall Sung, The numeric variable to the second place.
31,0:05:54,0:06:08,Hanall Sung," And this part.function, that's a‚ that's a place for a function that aggregates the values of .x for each value of .f. So, like, sum, mean, median, and etc."
32,0:06:08,0:06:17,Hanall Sung," So, the task is, to reorder the levels of the city vector based on the total"
33,0:06:17,0:06:24,Hanall Sung, revenue generated for each city. So the factor reorder
34,0:06:24,0:06:41,Hanall Sung," function achieves this by, first, taking, taking in the city variables as a factor to be reordered. Second, revenue as the variable used for reordering, sorry, used for ordering. And third, some‚  "
35,0:06:41,0:06:47,Hanall Sung, Here are some as the function used to summarize revenue.
36,0:06:48,0:07:04,Hanall Sung," So, the dot, dot is a shorthand for referring to the data being transformed. So here it refers to the city factor in the mutate function context, right? Here, this dot."
37,0:07:06,0:07:12,Hanall Sung," So, we mutate, this‚  "
38,0:07:13,0:07:35,Hanall Sung," this, factor reorder. So basically, we just replace the city, values with this factor reorder function, and when we check these levels, the levels function is then used to display the new order of levels in city after reordering based on the sum of revenue, right?"
39,0:07:35,0:07:45,Hanall Sung," And, as you can see in this, output, So, previously‚ Houston‚  "
40,0:07:46,0:08:00,Hanall Sung," So New York has 15,000, LA has 22,000, Chicago 18K, Houston 12K, york,"
41,0:08:01,0:08:19,Hanall Sung," 13.5K in Chicago 16K, then when we reorder, we can see the new order of levels in the city after reordering based on the sum of the revenue, because now we summed them up, right? By city."
42,0:08:20,0:08:21,Hanall Sung, So this is the output.
43,0:08:23,0:08:47,Hanall Sung," And the next, function is factor re-level, and factor re-level in the forecast package is used to reorder the levels of a factor to a specified order. So this function allows you to move specific factor levels to new positions, within the factor's existing order. That is particularly useful when you need"
44,0:08:47,0:08:56,Hanall Sung," to change, the display order of factor levels for visualization or, reporting proposals."
45,0:08:59,0:09:13,Hanall Sung," So let's say you have a dataset with a factor variable education that contains levels for different education levels. You want to reorder these levels to a custom order, right?"
46,0:09:13,0:09:25,Hanall Sung," So in this case, we have education levels, high school, bachelor's, college, master's, high school."
47,0:09:25,0:09:32,Hanall Sung," And then, we can use this factor, relvel function"
48,0:09:32,0:09:49,Hanall Sung," So the code uses the mutate function from the deployer package to transform the education variable, by applying factor reliable. And vectorRELEVEL moves, masters"
49,0:09:49,0:09:56,Hanall Sung," To the front of the levels, and we can see the following new order of levels, master, bachelor, some college."
50,0:09:56,0:10:04,Hanall Sung," high school. So, that's a kind of new order of levels using, levels."
51,0:10:07,0:10:32,Hanall Sung," Okay, then factor re-level is commonly used when creating plots or tables where you want to emphasize certain categories or control the order of categories for better interpretation. For example, when plotting data related to educational levels, you might want to move high school or doctorate"
52,0:10:32,0:10:40,Hanall Sung," To a specific, to a specific position to emphasize trends or, you know, comparisons."
53,0:10:40,0:10:46,Hanall Sung," So, for that case, this vector re-level can be used, effectively."
54,0:10:47,0:11:02,Hanall Sung," So, after following this specified order, when we check the levels of the data, and education variable from this data, then we can see it follows the exact order we specified."
55,0:11:04,0:11:04,Hanall Sung, Here.
56,0:11:05,0:11:06,Hanall Sung, Right?
57,0:11:08,0:11:13,Hanall Sung," And‚ yeah, let's move on to text data."
58,0:11:13,0:11:17,Hanall Sung, What counts as hex data?
59,0:11:17,0:11:34,Hanall Sung," Text data refers to data that is represented in a text or string format. It can range from words, sentences, and paragraphs to entire documents and other forms of unstructured data."
60,0:11:34,0:11:41,Hanall Sung," And it contrasts with numeric or categorical data, and often contains reach"
61,0:11:42,0:11:57,Hanall Sung," qualitative information. So text data is common, across physical, life sciences, and social sciences research fields, like with this last group of fields, including, educational research."
62,0:11:58,0:12:12,Hanall Sung," And text data can take many forms. What are some examples of text in your field, and what sort of analysis do you do with text? So, this is my curiosity, and"
63,0:12:13,0:12:17,Hanall Sung," to answer these questions, I hope you to bring your own"
64,0:12:17,0:12:37,Hanall Sung," text data, by next week, to the, to, to our session next week. So, I know it's, still, asynchronous course, but I, I hope you can bring your own text data, when you, when you, you know, play next."
65,0:12:37,0:12:38,Hanall Sung, Weeks.
66,0:12:38,0:12:51,Hanall Sung," recording, so, we can, you know, have a chance to‚ I want you to have a chance to explore your own text data,"
67,0:12:52,0:13:14,Hanall Sung," and use or apply whatever techniques and, our codes we will learn, next week. So, think about what kind of text data you could bring, how it might be used in your specific field, and what questions you'd like to explore, right? So please be prepared, and I'm going to talk about this again at the end of this"
68,0:13:15,0:13:16,Hanall Sung, Today's session.
69,0:13:17,0:13:17,Hanall Sung, Okay?
70,0:13:19,0:13:37,Hanall Sung," And let me give you, one cool example of text analysis. It's called, She Giggles, He Gallops. So, if you click this hyperlink, it'll, bring you to this‚ the pudding article."
71,0:13:37,0:13:44,Hanall Sung, Analyzing gender tropes in film with screen direction from 2000 scripts.
72,0:13:45,0:13:51,Hanall Sung, And I hope you to take a moment to read this page.
73,0:13:51,0:13:59,Hanall Sung," So stop the recording here, and then, take a while to read through this article, okay? Please‚  "
74,0:14:00,0:14:05,Hanall Sung," Stop this recording here, and take a moment to read this article."
75,0:14:09,0:14:19,Hanall Sung," Okay, so I, believe you have read, this article. So, she giggles, he gallops, from the pudding."
76,0:14:19,0:14:35,Hanall Sung," analyzes‚ sorry, let me go back to here‚ analyzes genders, language, in movie scripts by examining how men and women are described differently in screen directions. So let me go down to this‚  "
77,0:14:36,0:14:48,Hanall Sung," visuals, maybe. Visual representation. Okay, using text analysis and natural language processing, the study reveals that male characters are often associated with active"
78,0:14:48,0:14:57,Hanall Sung," Powerful verbs like gallops, while female characters are depicted with more passive or emotional terms like giggles."
79,0:14:57,0:15:09,Hanall Sung," And this analysis uncovers biases in language that reflect broader‚ broader gender stereotypes, highlighting how text"
80,0:15:09,0:15:25,Hanall Sung, data can reveal cultural patterns and disparities. It serves as a compelling example of how text analysis can uncover hidden biases in language and representation within cultural artifacts.
81,0:15:25,0:15:42,Hanall Sung," But more importantly, it demonstrates how quantitative analysis, like word counts and comparisons, can be paired with qualitative insights, like the meaning and implications of word choice to tell a compelling story."
82,0:15:42,0:15:45,Hanall Sung," One cohesive, compelling story."
83,0:15:45,0:15:57,Hanall Sung," So, similar techniques can be used in educational research, to analyze gendered language in textbooks, student-teacher interactions, or"
84,0:15:57,0:16:02,Hanall Sung," Student-student collaboration, or student writing."
85,0:16:02,0:16:21,Hanall Sung," And in social sciences, text analysis might focus on identifying patterns in political science, sorry, political speech, media portrayals, or public discourse to understand underlying biases and social, dynamics."
86,0:16:23,0:16:37,Hanall Sung," I think, this is really cool, and there's a bunch of, interactive visualizations you can play with. So, yeah, please take a moment to explore this page thoroughly."
87,0:16:38,0:16:48,Hanall Sung," And it'll give you some good ideas of, text analysis, and I hope it can be insightful for your‚ any future, research."
88,0:16:48,0:16:49,Hanall Sung, Or projects.
89,0:16:50,0:16:51,Hanall Sung, Okay?
90,0:16:51,0:17:10,Hanall Sung," TidyText. Okay, so the tidyText package provides, tools to convert unstructured text data into a tidy format, where each token, token means word or phrase, is treated as a row."
91,0:17:10,0:17:24,Hanall Sung," in a data frame, aligning with the tidy data principles in R. And this makes it easier to use familiar Tidyverse tools like Applier, ggplot2, and Tidyr to perform text analysis."
92,0:17:24,0:17:30,Hanall Sung," So this is a tool designed for text mining and natural language processing, utilizing the principles of tidy data."
93,0:17:31,0:17:35,Hanall Sung," And yes, we should install this new package, IDText."
94,0:17:36,0:17:43,Hanall Sung," And some key concepts. Tokens and a tidy text format. So, let me begin with,"
95,0:17:43,0:17:49,Hanall Sung," let me‚ let me‚ let me start with token. So, token refers to the smallest unit of‚  "
96,0:17:49,0:17:59,Hanall Sung," text analysis, such as a word, symbol, or engram. So, in text mining, breaking down text into tokens."
97,0:17:59,0:18:11,Hanall Sung," helps in analyzing and understanding the components of the text. For example, in this sentence, text analysis is powerful. The tokens would be text."
98,0:18:11,0:18:15,Hanall Sung," One token, analysis, another token, is‚  "
99,0:18:15,0:18:20,Hanall Sung," Another token, and powerful. That's a‚ that's a good cure, right?"
100,0:18:20,0:18:35,Hanall Sung," So in the sentence, yes, so this is the example I mentioned. And tokenization. This is the process of splitting text into tokens, enabling efficient analysis of words, frequency, sentiment, and more."
101,0:18:35,0:18:43,Hanall Sung," So, tokenization is the process of splitting or segmenting, segmenting text into these tokens."
102,0:18:43,0:18:55,Hanall Sung," And this process is fundamental to text analysis, as it breaks down large text bodies into manageable and analyzable units."
103,0:18:55,0:19:09,Hanall Sung," The tokenization allows for a wide range of text analysis, such as counting word frequencies, analyzing patterns, performing sentiment analysis, and creating term document matrices, like called D."
104,0:19:12,0:19:24,Hanall Sung," sorry, TDM. No, DTM. I'll explain it, in detail in the following. And by breaking down text data into smaller, meaningful components."
105,0:19:24,0:19:40,Hanall Sung," Tokenization enables more detailed and scalable analysis, and this is essential for tasks like searching for specific words, identifying frequent terms, or extracting meaning from large text"
106,0:19:40,0:19:41,Hanall Sung, Corpora.
107,0:19:42,0:19:54,Hanall Sung," And tokenization is used in natural language processing, NLP, NLP applications, including checkbots, search engines, and sentiment analysis models."
108,0:19:56,0:20:19,Hanall Sung," And tidy text format. So, the tidy text format follows the tidy data principles, has‚ which has a specific structure, as you recall, but each variable forms a column, each observation forms a row, and each type of observation‚ sorry, each type of observational unit forms a table."
109,0:20:19,0:20:22,Hanall Sung, And this makes a tax data‚  
110,0:20:22,0:20:30,Hanall Sung, easier to manipulate and analyze using familiar data manipulation tools and the Tide Dippers.
111,0:20:30,0:20:43,Hanall Sung," So, tidyText has a specific structure. Each variable is a column, each observation is a row, each type of observation unit is a table, okay? Specifically, the,"
112,0:20:43,0:20:55,Hanall Sung," So, tidy text format. Specifically, the tidy text format represents text data as a table with one token per row."
113,0:20:55,0:21:00,Hanall Sung," One token per row, where,"
114,0:21:00,0:21:09,Hanall Sung," A token could be a word, a sentence, or another unit of text analysis. Like, by breaking text into individual tokens."
115,0:21:10,0:21:11,Hanall Sung," Like, such as words."
116,0:21:11,0:21:30,Hanall Sung," in a one token per row structure, you can apply powerful data wrangling and analysis techniques. So this structure makes it easier to perform operations like counting, word frequencies, analyzing token co-occurrences, and even performing sentiment analysis using"
117,0:21:30,0:21:33,Hanall Sung, tools like Deplier and GGPL2.
118,0:21:34,0:21:46,Hanall Sung," So this one, a table with one token per row, this is a really key, key idea of this tidy text format."
119,0:21:46,0:21:59,Hanall Sung," So the tidy text package provides functionality to tokenize by commonly used units of text, like this, and convert to a one-term per row format."
120,0:22:00,0:22:00,Hanall Sung, Okay?
121,0:22:01,0:22:04,Hanall Sung, Oops. Applications and benefits.
122,0:22:05,0:22:18,Hanall Sung," So what are the benefits of using tokens in a tidy text format for, text analysis? We can use the same tidy data format we are familiar with."
123,0:22:18,0:22:19,Hanall Sung, Here.
124,0:22:20,0:22:29,Hanall Sung, The tidy text format allows you to treat text data like any other tidy data format. This means
125,0:22:29,0:22:41,Hanall Sung," You can apply the same data manipulation tools and workflows, you're already familiar with, like the applyer for data wrangling and ggplot2 for visualization."
126,0:22:42,0:22:51,Hanall Sung, So that's one good benefit. And tidy data sets allow manipulation with the standard set of tidy tools.
127,0:22:51,0:23:04,Hanall Sung," So by using tidy principles, text data becomes compatible with a REACH ecosystem of tidy tools, so-called tidy tools, making tasks like filtering."
128,0:23:04,0:23:20,Hanall Sung," Summarizing and transforming text data, much more efficient. And we can perform operations like counting words, identifying frequent terms, and conducting sentiment analysis within a tidy workflow."
129,0:23:21,0:23:27,Hanall Sung," And there's some great documentations and examples here, tidyText."
130,0:23:28,0:23:35,Hanall Sung, tidyTextmining.com. The website has basic and advanced computational text analysis capabilities.
131,0:23:36,0:23:40,Hanall Sung," So, I grabbed one quote,"
132,0:23:40,0:23:57,Hanall Sung," from this book. So, treating text as data frames of individual words allows us to manipulate, summarize, and visualize the characteristics of text easily, and integrate natural language processing into effective workflows we are already using."
133,0:23:57,0:24:09,Hanall Sung," So this quote highlights that, treating text data as data frames of individual words allows for, you know, easy manipulation, some radiation, and visualization."
134,0:24:09,0:24:23,Hanall Sung," And it also facilitates the integration of NLP into existing data analysis workflows, enhancing, you know, productivity and insight generation."
135,0:24:25,0:24:27,Hanall Sung," So, please check this out."
136,0:24:28,0:24:33,Hanall Sung," And let me move on to some key concepts, tokenization."
137,0:24:34,0:24:38,Hanall Sung," So, transforming text into Heidi‚  "
138,0:24:38,0:24:48,Hanall Sung," text. That's a‚ that's a tokenization, right? We must break text into individual tokens. That is, each word‚  "
139,0:24:48,0:25:01,Hanall Sung," like, in other words, token must have its own line, one token per row, right? And on Nest tokens, this function is the key function in working with text data using"
140,0:25:01,0:25:02,Hanall Sung, IDEXT.
141,0:25:02,0:25:13,Hanall Sung, Because it transforms text columns in a data frame into tokens by unnesting them into individual rows.
142,0:25:14,0:25:20,Hanall Sung," So basically, this is the format."
143,0:25:21,0:25:32,Hanall Sung," So, the first argument, this word, you must specify, the new column name, the text will be unmested into."
144,0:25:33,0:25:34,Hanall Sung, So‚  
145,0:25:35,0:25:49,Hanall Sung," the name of the new column that will contain the tokens. For example, naming it word means each token will appear as a row under this column, under this row‚ under this Word column."
146,0:25:50,0:25:51,Hanall Sung, And‚  
147,0:25:51,0:26:08,Hanall Sung," The second argument, this text here, is the input column the text comes from. And this can be quotes, transcripts, entire documents, etc. So this specifies the column in your original data that contains the text to be tokenized."
148,0:26:08,0:26:16,Hanall Sung," Okay, so this is the input column, and the text could come from various sources, such as quotes, transcripts."
149,0:26:16,0:26:29,Hanall Sung," paragraphs, or entire documents. So, this code would create a new column, word, contain, containing each individual word from the text."
150,0:26:29,0:26:39,Hanall Sung," colon as a separate row. So this transforms the text into a tidy data structure, ready for analysis."
151,0:26:40,0:26:46,Hanall Sung," So, on this token, this is the, the, the, the, the format."
152,0:26:47,0:27:06,Hanall Sung," the word, that's the existing‚ no, that's a new column, you want to create one token per row structure and text. This is the original column that you have, and you want to input the original text where the text comes from, okay? Word and text."
153,0:27:08,0:27:24,Hanall Sung," And here's a super small example, had to run DMC. This is a, typical character vector that we might want to analyze. But we have‚ let's say we have this text, like, 3 different lines, and,"
154,0:27:24,0:27:30,Hanall Sung," when you, print it out, you can see, the text I input."
155,0:27:30,0:27:39,Hanall Sung," And to turn the text into a tidy text dataset, we first need to, put it into a data"
156,0:27:39,0:27:58,Hanall Sung," Right. However, it still isn't compatible with text analysis. We can't filter out words or count which occur most frequently, since each row is‚ each row is made up of multiple combined words. We need to convert this so that it has one token per"
157,0:27:58,0:28:00,Hanall Sung, document per row.
158,0:28:01,0:28:17,Hanall Sung," This transformation allows us to perform more granular analysis, such as identifying frequent words, applying stop word removal, I'm going to talk about this more, and conducting sentiment analysis. So‚  "
159,0:28:18,0:28:36,Hanall Sung," here, text DF, let's make a table, using the strings we've made in the previous slide, right? That's a‚ that's a new table. And line 1, 2, 3, so this creates a column named line with values 1, 2, and 3."
160,0:28:36,0:28:54,Hanall Sung," These values can serve as row identifiers, or line numbers, indicating each line of text corresponds to each row. And text equals to text. This creates another column named"
161,0:28:54,0:29:05,Hanall Sung," text, which contains the values from the text vector. And the text vector was defined previously and contains a few sentences."
162,0:29:06,0:29:14,Hanall Sung," like this. So, you can see line 123, and the text is filled with the original text."
163,0:29:16,0:29:22,Hanall Sung," Okay, now we need to both break the text into visual tokens."
164,0:29:22,0:29:38,Hanall Sung," that's a process of, that's a process of tokenization, and transform it to a tidy data structure. For this, we use tidyText on NAST tokens functions‚ a function. And the arguments are the con‚  "
165,0:29:39,0:29:46,Hanall Sung," the column names. First, we have to output a column name that'll create as a text."
166,0:29:46,0:29:49,Hanall Sung, Is unnested into‚  
167,0:29:50,0:30:07,Hanall Sung," into the new column name, so let's say it'll be Word, the column name would be Word, and the input column that the text comes from is the text, right? That was the text. So the onNestTokens function tokenizes the text"
168,0:30:07,0:30:09,Hanall Sung, In the text column.
169,0:30:09,0:30:29,Hanall Sung," And creates a new data frame where each token, so in this case word, is placed in a row under the word column, right? So that's basically what this, code chunk does. And after running this code, the tidy"
170,0:30:29,0:30:48,Hanall Sung," DF on Nest, this data frame will have one row per token, with the regional line identifier, like, numbering of each line in the text, you know, the previous slide here, oops, here, this line. It'll be‚ they will be still attached."
171,0:30:50,0:31:11,Hanall Sung," Okay, so after using onNist tokens, we've split each row so that there is one token word in each row of the new data frame. The default tokenization in onNist tokens is for single words, as shown here. The other columns, such as the"
172,0:31:11,0:31:13,Hanall Sung," The line number, each word."
173,0:31:13,0:31:22,Hanall Sung," came from or retained, right? As you can see, when we just, see the, the, the first three"
174,0:31:23,0:31:35,Hanall Sung," rows by using head function, the head and the three rows, we can see this speech is each word, each token is still associated with the line number 1."
175,0:31:36,0:31:44,Hanall Sung," Because previously, these are‚ these bitches, these are all from this line number 1, right?"
176,0:31:45,0:31:49,Hanall Sung, So‚ and the punctuation has been stripped.
177,0:31:50,0:31:56,Hanall Sung," So, during the Code Along session, I'm gonna just run"
178,0:31:56,0:32:12,Hanall Sung," this part, so you're gonna see, the outputs. And by default, honest tokens converts to tokens to lowercase. So previously, this, that was a start with a capital T, but here, it's all lowercase."
179,0:32:13,0:32:15,Hanall Sung, Because that's a‚ that's a default.
180,0:32:16,0:32:19,Hanall Sung," Okay, some summary,"
181,0:32:20,0:32:37,Hanall Sung," This is the, summary of the process of tokenization. So, text data, starting from the text data, this represents the initial raw text data that you want to analyze, and it could be anything from social media posts."
182,0:32:38,0:32:49,Hanall Sung," speeches, articles, to, you know, user reviews. And then, honest tokens, using the tidyText package. So, honest‚  "
183,0:32:49,0:33:02,Hanall Sung," on Nest tokens, this function from the tidy text package, this breaks down the text data into tokens, like individual words, resulting in a tidy."
184,0:33:02,0:33:13,Hanall Sung," text format where each token is in a separate row, right? One token per row. That's a key, tiny text data structure."
185,0:33:14,0:33:16,Hanall Sung, And tidy text.
186,0:33:16,0:33:32,Hanall Sung," So this stage is the output after tokenization. It represents text data that follows tidy data principles, like one observation per row. And at this point, you can use tools like"
187,0:33:32,0:33:38,Hanall Sung," deployer and Tidyr to filter, group, or transform the data structure."
188,0:33:38,0:33:40,Hanall Sung," Sorry, the data farther."
189,0:33:42,0:33:59,Hanall Sung," And then, so the count from the declier, something like that. And then this summarized text. So the tidy text data is often summarized for analysis. This‚ this step, involves counting tokens."
190,0:33:59,0:34:16,Hanall Sung," aggregating data and applying text transformations using functions from Deplier and Tidier. And summarization allows you to gain insights into word frequencies, sentiment, or trends within the text."
191,0:34:16,0:34:21,Hanall Sung," So that's, that's important, that's an important, stage."
192,0:34:21,0:34:32,Hanall Sung," And then, visualization. So, the summarized data can then be visualized using ggplot2, which provides powerful tools for creating graphs and plots."
193,0:34:32,0:34:48,Hanall Sung," And visualizations always help communicate findings and patterns discovered in a text data analysis. For example, you can create word clouds, bar charts of the most common words, sentiment plots, and more."
194,0:34:48,0:35:04,Hanall Sung," And this workflow‚ this workflow shows how raw text data is transformed into actionable, insights using a structured series of steps with tidy tools, highlighting the integration of tidyText."
195,0:35:04,0:35:18,Hanall Sung," With other Tidyverse packages, like Deplier, Tidyr, and ggplot2, and the Tidy approach simplifies and streamlines text analysis, making it, accessible and reproducible."
196,0:35:21,0:35:28,Hanall Sung," Okay, let me move on to, other key concepts."
197,0:35:29,0:35:44,Hanall Sung," Some stop words. So, stop words are words that are not useful for analysis, typically extremely common words such as the, of, to, and so forth, and so forth in English."
198,0:35:45,0:36:00,Hanall Sung," So these are, common words in a language that often carry little unique meaning on their own. So these words typically appear frequently in text data, but provide very limited value for analysis."
199,0:36:00,0:36:07,Hanall Sung, As they do not significantly contribute to understanding the context or unique content of the text.
200,0:36:08,0:36:24,Hanall Sung," So often in text analysis, we want to remove these stop words. And in text analysis, stop words are often removed to reduce noise and improve the focus on meaningful words or phrases."
201,0:36:24,0:36:38,Hanall Sung," Removing these words can help highlight the most significant terms, making it easier to analyze patterns, frequency, distributions, sentiment, and other text characteristics."
202,0:36:38,0:36:47,Hanall Sung," And the tidy text package in R comes with a built-in dataset called StopWords,"
203,0:36:47,0:37:01,Hanall Sung," Which contains a list of common subwords across different languages. And this data set, can be used as a reference for identifying and removing stub words, during text processing."
204,0:37:03,0:37:13,Hanall Sung, And the next item is anti-join. So we can manipulate our text data with tidy tools like Deplier.
205,0:37:14,0:37:33,Hanall Sung," And anti-join works to remove observations from a specified dataset. So anti-join is a function in the plier that returns rows from the first dataset, X, where there are no matching values in the second dataset, Y."
206,0:37:33,0:37:41,Hanall Sung," So it only returns these rows, and it effectively filters out observations that match"
207,0:37:41,0:37:54,Hanall Sung," entries, in another dataset. This operation is commonly used to exclude stub words from text data by performing a join with a stub word list."
208,0:37:54,0:38:07,Hanall Sung," So all rows from X where there are not matching values in Y, keeping just columns from X. So basically, anti-join compares the two datasets and removes"
209,0:38:07,0:38:21,Hanall Sung," this is important. Removes rows in X where values matches any values in Y. So in this example, the matching values between the X and Y are lines"
210,0:38:21,0:38:38,Hanall Sung," 1 and 2, right? So these rows will be filtered out. Filtered out, it'll be removed. The anti-join does not keep the line 4 in Y, because this only cares the rows from the first dataset, which is X,"
211,0:38:38,0:38:47,Hanall Sung," Similar to left join, right? On the left join function, we are only caring about, the left's"
212,0:38:47,0:38:54,Hanall Sung," left data set, which is the‚ which is, X in this case, and this is, in this animation example."
213,0:38:55,0:39:10,Hanall Sung," So the final product only contains the line 3, which is a non-matching value in the second dataset. There's no line 3 in Y, that's why we only kept, line 3"
214,0:39:10,0:39:15,Hanall Sung," From the data X, from the X very‚ from the X dataset."
215,0:39:16,0:39:18,Hanall Sung," Okay, so that's an anti-joint."
216,0:39:19,0:39:24,Hanall Sung," And we're gonna use this anti-join for, for‚  "
217,0:39:24,0:39:30,Hanall Sung," applying this, what is that? The subwords dataset, right? So basically."
218,0:39:30,0:39:51,Hanall Sung," Let's say we have one dataset and a subwords dataset, and if any, any rows match with the, the subwords datasets, then those rows will be filtered out, and more significant and meaningful contribution to the context, those rows will be retained."
219,0:39:52,0:39:55,Hanall Sung," Okay, stop boards dataset."
220,0:39:55,0:40:12,Hanall Sung, The stop words dataset in the tiny text package contains stop words from three lexicons. A lexicon is essentially a collection of words or terms used in a particular language or field of study.
221,0:40:13,0:40:21,Hanall Sung, And the stop words dataset is an example of a lexicon that provides a list of common stop words in multiple languages.
222,0:40:21,0:40:40,Hanall Sung," And these are words that are typically filtered out in text analysis, such as the, and, of, and other commonly used words that carry little specific meaning. So, here we will use stop words to remove stop words with anti-join. So‚  "
223,0:40:41,0:40:42,Hanall Sung, Yes.
224,0:40:42,0:41:04,Hanall Sung," So this code filters out all rows, all rows in tidyDF onNest, where the word column matches any entry in the stop words dataset. So this is a Y, this is data X. So anti-join, this function, removes rows where there is a match."
225,0:41:04,0:41:06,Hanall Sung," from X, right? Match‚  "
226,0:41:06,0:41:22,Hanall Sung," from X, effectively removing subwords from the tidy text data. And the results shows a table with 8 rows, so this is the whole‚ the final data set after we remove subwords."
227,0:41:22,0:41:33,Hanall Sung," Where the words speech, recital, vital, rock, rhyme, time, tricky, and title remain after subwords have been removed."
228,0:41:36,0:41:42,Hanall Sung," Okay, another example. How can we fill the blank?"
229,0:41:43,0:41:47,Hanall Sung, the blanks here. So‚  
230,0:41:47,0:41:56,Hanall Sung," Here, let's say, I have a new tuple and created‚ create a dataset, my sentences, and in this"
231,0:41:56,0:42:10,Hanall Sung," people we have‚ I think she's really good at playing soccer, but he's probably a better dancer, especially at his age. I really like to watch soccer games, especially for one knocks, and she was a great goalkeeper, perhaps. She played soccer."
232,0:42:10,0:42:16,Hanall Sung," blah blah blah, from such a young age. So that's, that's a few sentences in this table."
233,0:42:16,0:42:18,Hanall Sung, And‚  
234,0:42:18,0:42:27,Hanall Sung," what are we doing here? Using this dataset, we first want to on-nest tokens, and what was the basic format?"
235,0:42:28,0:42:32,Hanall Sung, Which one should come first? And the second argument‚  
236,0:42:33,0:42:44,Hanall Sung," So the code on this token separates the words in the sentences column into individual tokens, right? So we need a new column name."
237,0:42:44,0:42:56,Hanall Sung," And removes, so this honest tokens also, removes punctuation. You can fill in the blanks, as honest tokens."
